,BD,BP,PR,SP,CH,ED,SENT,NAME
440,0,2,0,0,0,0,400,Mahmoud Ahmadinejad
441,2,3,1,0,0,0,175,Mohammad Khatami
442,2,3,0,1,16,0,432,Ruhollah Khomeini
443,2,1,0,0,0,0,169,Ahmed Hassan al-Bakr
444,1,17,0,1,0,0,34,Barham Salih
445,1,1,0,1,6,0,37,Fuad Masum
446,1,19,0,1,3,0,54,Jalal Talabani
447,1,1,0,3,17,0,463,Saddam Hussein
448,2,3,0,0,0,0,71,Chaim Herzog
449,1,2,0,3,2,0,349,Chaim Weizmann
450,1,2,0,2,0,0,29,Ephraim Katzir
451,0,1,0,1,0,0,71,Ezer Weizman
452,1,3,0,2,0,0,150,Moshe Katsav
453,1,8,0,1,0,1,96,Reuven Rivlin
454,2,4,0,7,0,0,292,Shimon Peres
455,1,2,0,1,0,0,52,Yitzhak Ben-Zvi
456,1,11,0,2,0,0,69,Yitzhak Navon
457,1,2,0,0,0,0,26,Zalman Shazar
458,0,3,0,0,0,0,40,Antonio Segni
459,0,0,0,1,0,0,30,Carlo Azeglio Ciampi
460,0,0,0,0,0,0,28,Enrico De Nicola
461,2,6,0,0,2,0,116,Francesco Cossiga
462,1,9,0,0,0,0,160,Giorgio Napolitano
463,1,2,0,0,0,0,52,Giovanni Gronchi
464,1,4,0,0,0,0,21,Giovanni Leone
465,1,0,0,0,0,0,11,Giuseppe Saragat
466,1,3,0,0,1,0,26,Luigi Einaudi
467,2,3,0,0,0,0,36,Oscar Luigi Scalfaro
468,1,1,0,3,0,0,41,Sandro Pertini
469,1,4,0,1,2,0,99,Sergio Mattarella
470,1,1,0,0,0,0,266,Umberto II
471,2,5,0,1,0,0,67,Kassym-Jomart Tokayev
472,1,10,0,1,5,0,192,Nursultan Nazarbayev
473,1,3,0,0,0,0,113,Atifete Jahjaga
474,1,38,0,1,0,0,57,Behgjet Pacolli
475,1,3,0,0,0,0,87,Hashim Thaçi
476,1,11,0,0,0,0,11,Jakup Krasniqi
477,1,0,0,2,0,0,87,Almazbek Atambayev
478,1,4,0,1,2,0,62,Askar Akayev
479,1,0,0,0,0,0,5,Ishenbai Kadyrbekov
480,2,1,0,2,0,0,77,Kurmanbek Bakiyev
481,0,3,0,0,0,0,55,Roza Otunbayeva
482,1,0,0,1,0,0,70,Sooronbay Jeenbekov
483,2,2,0,0,0,0,35,Andris Bērziņš (Latvian President)
484,2,18,0,1,0,0,43,Guntis Ulmanis
485,2,0,0,0,0,0,28,Raimonds Vējonis
486,0,12,0,1,0,0,67,Vaira Vīķe-Freiberga
487,1,9,0,1,0,0,32,Valdis Zatlers
488,2,1,0,1,3,0,41,Elias Hrawi
489,2,1,0,0,0,0,59,Emile Lahoud
490,1,0,0,1,0,0,187,Michel Aoun
491,2,14,0,1,0,0,55,Michel Sleiman
492,0,0,0,0,0,0,66,Rashid Karami
493,1,12,0,0,0,0,30,Selim Hoss
494,0,9,0,0,0,0,58,Alfred Francis Russell
495,1,0,0,0,0,0,24,Amos Sawyer
496,0,4,0,0,0,0,27,Anthony William Gardiner
497,2,2,0,0,0,0,26,Arthur Barclay
498,1,11,0,0,0,0,33,Charles D.B. King
499,2,40,0,3,10,0,185,Charles Taylor (Liberia)
500,2,0,0,0,0,0,16,Daniel Bashiel Warner
501,1,0,0,0,0,0,27,Daniel E. Howard
502,0,0,0,0,0,0,7,David D. Kpormakor
503,1,21,0,0,0,0,68,Edwin Barclay
504,0,0,0,7,0,0,221,Ellen Johnson Sirleaf
505,0,4,0,0,0,0,15,Garretson W. Gibson
506,0,0,0,17,10,0,168,George Weah
507,1,0,0,0,0,0,26,Gyude Bryant
508,1,11,0,0,0,0,31,Hilary R. W. Johnson
509,1,0,0,0,0,0,25,James Spriggs-Payne
510,0,7,0,0,0,0,19,Joseph James Cheeseman
511,1,5,0,4,0,0,99,Joseph Jenkins Roberts
512,1,0,0,0,0,0,27,Moses Blah
513,0,12,0,0,0,0,29,Ruth Perry
514,1,14,0,0,0,0,98,Samuel Doe
515,1,0,0,0,0,0,31,Stephen Allen Benson
516,1,2,0,0,0,0,27,William D. Coleman (politician)
517,0,13,0,0,0,0,72,William Tolbert
